@0	0002
@1	01ff
@2	01fe
@3	0200
@4	ff00
@5	00ff
@6	0002
@7	01ff
@8	0000
@9	01ff
@a	ff02
@b	ff01
@c	ff02
@d	0100
@e	01ff
@f	fefe
@10	01ff
@11	02fe
@12	0001
@13	ff00
@14	00fe
@15	0102
@16	01fe
@17	01ff
@18	0201
@19	fe01
@1a	ff02
@1b	fffe
@1c	0201
@1d	ff00
@1e	01fe
@1f	0102
@20	ff00
@21	ff02
@22	0000
@23	00fe
@24	ff01
@25	0001
@26	00ff
@27	02ff
@28	01ff
@29	ff01
@2a	fe00
@2b	0000
@2c	00fe
@2d	0101
@2e	0101
@2f	00fe
@30	ff02
@31	ff01
@32	fefe
@33	fe02
@34	0102
@35	01ff
@36	00ff
@37	ff01
@38	00fe
@39	fe01
@3a	0100
@3b	0200
@3c	0101
@3d	feff
@3e	00fe
@3f	0200
@40	fe02
@41	fffe
@42	00ff
@43	0201
@44	0200
@45	0000
@46	01ff
@47	ff00
@48	01fe
@49	0201
@4a	0000
@4b	0202
@4c	0000
@4d	fffe
@4e	00ff
@4f	0101
@50	0200
@51	ffff
@52	0202
@53	ff01
@54	0002
@55	0100
@56	0002
@57	fe00
@58	0202
@59	fe02
@5a	01fe
@5b	0101
@5c	feff
@5d	ff02
@5e	02fe
@5f	0202
@60	0102
@61	fffe
@62	01fe
@63	00fe
@64	0000
@65	0201
@66	feff
@67	fefe
@68	01ff
@69	fe01
@6a	02fe
@6b	02fe
@6c	0001
@6d	0100
@6e	fe00
@6f	feff
@70	0200
@71	02ff
@72	0100
@73	02ff
@74	0000
@75	02ff
@76	fe00
@77	0100
@78	02ff
@79	0001
@7a	00ff
@7b	0001
@7c	0201
@7d	02fe
@7e	fefe
@7f	fffe
@80	ff00
@81	00ff
@82	ff01
@83	0202
@84	0001
@85	0001
@86	fe02
@87	ffff
@88	02fe
@89	0202
@8a	fe02
@8b	01ff
@8c	feff
@8d	0101
@8e	00ff
@8f	fe02
@90	feff
@91	0202
@92	ff00
@93	ff00
