@0	ff01
@1	0002
@2	0300
@3	fefe
@4	ff00
@5	ff00
@6	0201
@7	fffe
@8	01ff
@9	0002
@a	00ff
@b	02ff
@c	0001
@d	fe02
@e	0101
@f	00ff
@10	0201
@11	ff00
@12	ff02
@13	0201
@14	00fe
@15	0200
@16	ff01
@17	ff02
@18	0102
@19	ff00
@1a	feff
@1b	fe01
@1c	0002
@1d	0000
@1e	ff02
@1f	0001
@20	0000
@21	01ff
@22	0100
@23	0103
@24	0101
@25	feff
@26	feff
@27	01fe
@28	fe02
@29	0202
@2a	00ff
@2b	00ff
@2c	0303
@2d	0102
@2e	0002
@2f	fffe
@30	0003
@31	03ff
@32	0100
@33	ff03
@34	01fe
@35	02ff
@36	fffe
@37	03ff
@38	ff03
@39	ffff
@3a	00fe
@3b	0100
