@0	0010
@1	0a07
@2	0b0b
@3	0a04
@4	0008
@5	0209
@6	0801
@7	0805
@8	0a09
@9	090a
@a	0301
@b	030a
@c	0201
@d	0103
@e	0105
@f	0b0b
@10	0506
@11	0109
@12	0500
@13	0207
@14	0906
@15	0707
@16	000a
@17	0704
@18	0100
@19	0307
@1a	0903
@1b	0b04
@1c	0601
@1d	0806
@1e	0101
@1f	000b
@20	0b04
@21	010a
@22	000b
@23	0605
@24	0009
@25	0301
@26	0003
@27	060b
@28	0707
@29	0004
@2a	0302
@2b	0907
@2c	0607
@2d	0008
@2e	0305
@2f	0207
@30	0706
@31	0b08
@32	0208
@33	0206
@34	0604
@35	0304
@36	0a07
@37	0709
@38	0001
@39	0206
@3a	040a
@3b	0a04
@3c	0802
@3d	0007
@3e	0602
@3f	0904
@40	030a
@41	0501
@42	0a07
@43	070a
@44	0603
@45	0b01
@46	030a
@47	010b
@48	0b05
@49	0b06
@4a	0a02
@4b	0401
@4c	0105
@4d	0a03
@4e	0803
@4f	0206
@50	0a06
@51	0801
@52	0208
@53	0805
@54	0801
@55	0703
@56	0602
@57	0a04
@58	0402
@59	0b07
@5a	0303
@5b	0703
@5c	0400
@5d	0b08
@5e	0a00
@5f	0707
@60	0409
@61	0a0a
@62	0804
@63	070b
@64	0403
@65	0202
@66	0008
@67	0908
@68	0905
@69	0505
@6a	0907
@6b	0908
@6c	0700
@6d	0207
@6e	0802
@6f	0a0b
@70	0003
@71	0701
@72	0303
@73	0009
@74	0b09
@75	0a00
@76	0109
@77	0007
@78	0505
@79	0a0a
@7a	0603
@7b	0705
@7c	0806
@7d	080b
@7e	0707
@7f	0608
@80	0b09
@81	0008
@82	1727
@83	0d25
@84	210f
@85	2415
@86	0b1d
@87	251a
@88	0b17
@89	1e1f
@8a	0c00
@8b	181d
@8c	1300
@8d	0826
@8e	2506
@8f	0823
@90	221d
@91	0618
@92	2227
@93	2408
@94	1410
@95	1712
@96	1725
@97	230f
@98	060c
@99	090c
@9a	2720
@9b	0d27
@9c	0726
@9d	150b
@9e	0003
@9f	140c
@a0	0000
@a1	0f08
@a2	0010
@a3	0108
@a4	0504
@a5	0809
@a6	0208
@a7	0100
@a8	0307
@a9	0205
@aa	0800
@ab	0603
@ac	0904
@ad	0706
@ae	0109
@af	0a0a
@b0	0307
@b1	0200
@b2	0209
@b3	0509
@b4	0a0b
@b5	0800
@b6	0303
@b7	0b07
@b8	0001
@b9	0906
@ba	010a
@bb	0107
@bc	0601
@bd	0904
@be	0808
@bf	0808
@c0	0403
@c1	0706
@c2	0600
@c3	0a08
@c4	0301
@c5	0703
@c6	0704
@c7	0709
@c8	050b
@c9	0a00
@ca	0809
@cb	0305
@cc	0901
@cd	0508
@ce	0508
@cf	0904
@d0	0a00
@d1	0207
@d2	0408
@d3	030b
@d4	0b08
@d5	0305
@d6	090b
@d7	0103
@d8	0405
@d9	0b07
@da	0905
@db	000b
@dc	050a
@dd	0006
@de	0401
@df	0008
@e0	0b09
@e1	0606
@e2	0b0b
@e3	0902
@e4	080b
@e5	0405
@e6	0509
@e7	0402
@e8	0509
@e9	0b0b
@ea	0b0a
@eb	0602
@ec	0b03
@ed	0901
@ee	0507
@ef	0000
@f0	0001
@f1	070b
@f2	0607
@f3	0906
@f4	0509
@f5	0601
@f6	0601
@f7	0308
@f8	030b
@f9	0507
@fa	0404
@fb	0305
@fc	050b
@fd	0907
@fe	0603
@ff	0300
@100	0209
@101	010a
@102	0a06
@103	0202
@104	0707
@105	0002
@106	0b06
@107	0706
@108	0508
@109	0b03
@10a	0102
@10b	0205
@10c	0209
@10d	0900
@10e	0401
@10f	0105
@110	0409
@111	0503
@112	030b
@113	0a06
@114	0301
@115	0104
@116	060a
@117	0802
@118	0300
@119	0802
@11a	0301
@11b	030a
@11c	050a
@11d	0804
@11e	0306
@11f	0802
@120	070b
@121	0602
@122	0304
@123	FFFF
